Package,Version,Group,Publisher,Repo_URL,Unclass_Total,Passes_SIA,eFOSS_Status,Is_Direct,Description,Mission_Justification,Mission_Impact,Is_Latest_Version,Older_Version_Justification,Prev_Approved_Versions,Vulnerabilities,Critical_or_High,Is_Executable,Non_Standard_File,Security_Scannable,Is_Modified,Procurement,OS_Identification,Alternate_Solutions,Used_On_Deliverable,Software_Type,End_Use,SIA_Scan_ID,SIA_Scan_Date,Stars,Forks,Closed_Issues,Releases,Tags,Age_Days,Last_Update_Hours,Prevalence_Score,Stars_Score,Forks_Score,Maturity_Score,Last_Update_Score,Trusted_Org_Bonus,Trusted_Orgs
psutil,7.2.2,pypi,giampaolo,https://github.com/giampaolo/psutil,75,True,,False,Cross-platform lib for process and system monitoring.,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,b19b70ec-41df-4bdc-ab0f-c281fe8de736,2026-02-13T22:49:47.387686Z,11082,1463,1548,0,102,4285,29,20,10,15,15,15,0,
python-dateutil,2.9.0.post0,pypi,dateutil,https://github.com/dateutil/dateutil,75,True,,False,Extensions to the standard Python datetime module,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,96c21a5d-1588-4321-a5ed-8e52ddfd4e79,2026-02-13T22:49:47.499676Z,2598,532,433,20,22,4105,84,20,10,15,15,15,0,
PyYAML,6.0.3,pypi,yaml,https://github.com/yaml/pyyaml,75,True,,False,YAML parser and emitter for Python,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,d841acd6-41b6-451d-bcba-e4049f2c241a,2026-02-13T22:49:45.908224Z,2850,567,359,3,46,5218,36,20,10,15,15,15,0,
robotframework,7.4.1,pypi,robotframework,https://github.com/robotframework/robotframework,75,True,,False,Generic automation framework for acceptance testing and robotic process automation (RPA),,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,2f07a4b1-c604-48f4-8a41-e94301da7d67,2026-02-13T22:49:47.715094Z,11419,2523,4522,102,167,4250,20,20,10,15,15,15,0,
robotframework-assertion-engine,3.5.0,pypi,MarketSquare,https://github.com/MarketSquare/AssertionEngine,51,Undetermined,,False,Generic way to create meaningful and easy to use assertions for the Robot Framework libraries.,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,2a47f9b1-fc8b-4852-bea8-ea904192a656,2026-02-13T22:49:47.824662Z,11,6,15,23,30,1855,76,16,2,3,15,15,0,
robotframework-browser,19.12.3,pypi,MarketSquare,https://github.com/MarketSquare/robotframework-browser,75,True,,False,"Robot Framework Browser library powered by Playwright. Aiming for speed, reliability and visibility.",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,aeb75827-c865-45c5-b39d-0a85713743a9,2026-02-13T22:49:47.989789Z,623,135,935,176,191,2084,45,20,10,15,15,15,0,
robotframework-browser-batteries,19.12.3,pypi,MarketSquare,https://github.com/MarketSquare/robotframework-browser,75,True,,True,Robot Framework Browser batteries package which contains all necessary NodeJS side components for using the Browser library.,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,aeb75827-c865-45c5-b39d-0a85713743a9,2026-02-13T22:49:47.989789Z,623,135,935,176,191,2084,45,20,10,15,15,15,0,
robotframework-pythonlibcore,4.5.0,pypi,robotframework,https://github.com/robotframework/PythonLibCore,59,Undetermined,,False,Tools to ease creating larger test libraries for Robot Framework using Python.,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,ce9d0d1c-4730-47d6-abaf-4fe4980b2f39,2026-02-13T22:49:46.144999Z,67,27,43,17,17,3300,657,12,7,10,15,15,0,
seedir,0.5.1,pypi,earnestt1234,https://github.com/earnestt1234/seedir,43,Undetermined,,False,"Package for creating, editing, and reading folder tree diagrams.",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,c8604cd3-6f66-48ee-be94-a32373e9dd30,2026-02-13T22:49:47.664799Z,129,8,25,11,12,2027,4800,8,10,4,15,6,0,
setuptools,82.0.0,pypi,pypa,https://github.com/pypa/setuptools,75,True,,False,"Easily download, build, install, upgrade, and uninstall Python packages",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,82f399cc-8c4c-4202-8374-ef898c0c9f99,2026-02-13T22:49:46.304265Z,2808,1365,2208,229,728,3609,30,20,10,15,15,15,0,
six,1.17.0,pypi,benjaminp,https://github.com/benjaminp/six,75,True,,False,Python 2 and 3 compatibility utilities,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,993ac1a6-468f-465e-a2b9-148e6fe839c0,2026-02-13T22:49:47.627692Z,1018,277,190,0,26,3330,37,20,10,15,15,15,0,
typing_extensions,4.15.0,pypi,python,https://github.com/python/typing_extensions,74,True,,False,Backported and Experimental Type Hints for Python 3.9+,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,e8dab1f8-d88f-4cd2-ae4b-7e2ef4bfc539,2026-02-13T22:49:47.718094Z,550,134,301,26,55,1367,117,20,10,15,14,15,0,
tzdata,2025.3,pypi,python,https://github.com/python/tzdata,69,Undetermined,,False,Provider of IANA time zone data,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,fc957668-47b4-4f26-b785-d9c550d1b44e,2026-02-13T22:49:46.265717Z,98,28,27,29,40,2185,199,20,9,10,15,15,0,
wrapt,2.1.1,pypi,GrahamDumpleton,https://github.com/GrahamDumpleton/wrapt,75,True,,False,"Module for decorators, wrappers and monkey patching.",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,0d09cb1a-5489-4b6d-b8ba-95579d7cb472,2026-02-13T22:49:47.646486Z,2271,245,177,10,77,4644,79,20,10,15,15,15,0,
