Package,Version,Group,Publisher,Repo_URL,Unclass_Total,Passes_SIA,eFOSS_Status,Is_Direct,Description,Mission_Justification,Mission_Impact,Is_Latest_Version,Older_Version_Justification,Prev_Approved_Versions,Vulnerabilities,Critical_or_High,Is_Executable,Non_Standard_File,Security_Scannable,Is_Modified,Procurement,OS_Identification,Alternate_Solutions,Used_On_Deliverable,Software_Type,End_Use,SIA_Scan_ID,SIA_Scan_Date,Stars,Forks,Closed_Issues,Releases,Tags,Age_Days,Last_Update_Hours,Prevalence_Score,Stars_Score,Forks_Score,Maturity_Score,Last_Update_Score,Trusted_Org_Bonus,Trusted_Orgs
asm-tree,9.9.1,org.ow2.asm,OW2,https://github.com/llbit/ow2-asm,43,Undetermined,,False,"Tree API of ASM, a very small and fast Java bytecode manipulation framework",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,e9baeeab-091f-47f7-86c5-5cb29d95d984,2026-02-10T21:34:50.536331+00:00,68,35,0,0,0,4568,2227,0,7,12,15,9,0,
aspectjweaver,1.9.25,org.aspectj,eclipse,https://github.com/eclipse/org.aspectj,71,True,,True,The AspectJ weaver applies aspects to Java classes. It can be used as a Java agent in order to apply load-time weaving (LTW) during class-loading and also contains the AspectJ runtime classes.,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,18d7f220-f333-4363-a34f-5e7fa70bb3ed,2026-02-10T21:34:50.560711+00:00,380,98,123,19,143,2021,262,16,10,15,15,15,0,
dom4j,2.2.0,org.dom4j,dom4j,https://github.com/dom4j/dom4j,67,Undetermined,,True,flexible XML framework for Java,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,fb3fdc98-08b2-479c-befc-dfd7ab61de44,2026-02-10T21:34:50.438152+00:00,945,242,88,15,28,3877,292,12,10,15,15,15,0,
fastexcel,0.19.0,org.dhatim,dhatim,https://github.com/dhatim/fastexcel,75,True,,True,Fast library to process Excel workbooks,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,397e2996-c67d-4df2-bca2-601d25897d20,2026-02-10T21:34:50.603739+00:00,857,140,133,98,107,3647,12,20,10,15,15,15,0,
opczip,1.2.0,com.github.rzymek,rzymek,https://github.com/rzymek/opczip,35,False,,False,PKZIP64 implementation compatible with MS Excel,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,3a054659-aa06-4b74-992f-c4dbf004a704,2026-02-10T21:34:50.515319+00:00,5,5,1,0,2,2571,1728,4,1,3,15,12,0,
fastexcel-reader,0.19.0,org.dhatim,dhatim,https://github.com/dhatim/fastexcel,75,True,,True,Fast library to process Excel workbooks,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,397e2996-c67d-4df2-bca2-601d25897d20,2026-02-10T21:34:50.603739+00:00,857,140,133,98,107,3647,12,20,10,15,15,15,0,
aalto-xml,1.3.3,com.fasterxml,FasterXML,https://github.com/FasterXML/aalto-xml,67,Undetermined,,False,"Ultra-high performance non-blocking XML processor (Stax/Stax2, SAX/SAX2)",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,f0cdec04-40cb-456f-8e89-57a0ea1e9595,2026-02-10T21:34:50.449484+00:00,302,73,58,0,18,5641,799,12,10,15,15,15,0,
stax2-api,4.2.2,org.codehaus.woodstox,fasterxml.com,https://github.com/FasterXML/stax2-api,51,Undetermined,,False,"Stax2 API is an extension to basic Stax 1.0 API that adds significant new functionality, such as full-featured bi-direction validation interface and high-performance Typed Access API.",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,908edcec-e54a-4a77-9985-3b4e75685db9,2026-02-10T21:34:50.466994+00:00,39,22,13,0,8,4602,197,8,4,9,15,15,0,
commons-compress,1.28.0,org.apache.commons,The Apache Software Foundation,https://github.com/apache/commons-compress,75,True,,False,"Apache Commons Compress defines an API for working with compression and archive formats. These include bzip2, gzip, pack200, LZMA, XZ, Snappy, traditional Unix Compress, DEFLATE, DEFLATE64, LZ4, Brotli, Zstandard and ar, cpio, jar, tar, zip, dump, 7z, arj.",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,4bac2a3a-47a9-4eff-8a64-7a708f752d41,2026-02-10T21:34:50.589725+00:00,390,304,0,0,92,5233,34,20,10,15,15,15,0,
gson,2.13.2,com.google.code.gson,google,https://github.com/google/gson,85,True,,True,Gson JSON library,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,9a9cfdd4-6d6c-4438-b531-bb9758274934,2026-02-10T21:34:50.571719+00:00,24339,4398,1425,12,54,3981,7,20,10,15,15,15,10,google
error_prone_annotations,2.41.0,com.google.errorprone,Google LLC,https://github.com/google/error-prone,85,True,,False,Error Prone is a static analysis tool for Java that catches common programming mistakes at compile-time.,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,b83a9df9-463d-41b6-9ccb-d412dafd6aa8,2026-02-10T21:34:50.751918+00:00,7135,781,1471,63,90,4191,8,20,10,15,15,15,10,google
httpclient,4.5.14,org.apache.httpcomponents,The Apache Software Foundation,https://github.com/apache/httpcomponents-client,75,True,,True,Apache HttpComponents Client,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,4dc67f45-f6d0-45db-b6fe-b91611b84da3,2026-02-10T21:34:50.568712+00:00,1525,984,0,0,204,6110,24,20,10,15,15,15,0,
httpcore,4.4.16,org.apache.httpcomponents,The Apache Software Foundation,https://github.com/apache/httpcomponents-core,75,True,,False,Apache HttpComponents Core (blocking I/O),,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,340d5675-cb1f-4b07-a569-32bdc6414bf8,2026-02-10T21:34:50.622746+00:00,368,353,0,0,221,6110,27,20,10,15,15,15,0,
commons-logging,1.3.5,commons-logging,The Apache Software Foundation,https://github.com/apache/commons-logging,75,True,,False,"Apache Commons Logging is a thin adapter allowing configurable bridging to other, well-known logging systems.",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,e9d6c5e4-2788-4a9a-aa60-35fb25cd6dbb,2026-02-10T21:34:50.537332+00:00,165,134,0,0,56,6110,34,20,10,15,15,15,0,
commons-codec,1.20.0,commons-codec,The Apache Software Foundation,https://github.com/apache/commons-codec,75,True,,False,"The Apache Commons Codec component contains encoders and decoders for formats such as Base16, Base32, Base64, digest, and Hexadecimal. In addition to these widely used encoders and decoders, the codec package also maintains a collection of phonetic encoding utilities.",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,50fe4d03-0517-4504-9894-20a2d12d0070,2026-02-10T21:34:50.491989+00:00,478,259,0,0,60,6110,6,20,10,15,15,15,0,
jackson-datatype-jsr310,2.20.1,com.fasterxml.jackson.datatype,FasterXML,https://github.com/FasterXML/jackson-modules-java8,75,True,,True,Add-on module to support JSR-310 (Java 8 Date & Time API) data types.,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,24578335-ff66-4617-bcbd-a60b6877996d,2026-02-10T21:34:50.526325+00:00,417,123,219,0,99,3387,551,20,10,15,15,15,0,
jackson-annotations,2.20,com.fasterxml.jackson.core,FasterXML,https://github.com/FasterXML/jackson-annotations,75,True,,False,"Core annotations used for value types, used by Jackson data binding package.",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,e3fea2e5-bfdb-43ca-9b96-725a1ce9d8da,2026-02-10T21:34:50.464489+00:00,1059,337,177,0,169,5164,107,20,10,15,15,15,0,
jackson-core,2.20.1,com.fasterxml.jackson.core,FasterXML,https://github.com/FasterXML/jackson-core,75,True,,False,"Core Jackson processing abstractions (aka Streaming API), implementation for JSON",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,64f44b1c-5004-438b-ad41-98c98931edea,2026-02-10T21:34:50.487373+00:00,2349,826,768,0,187,5164,73,20,10,15,15,15,0,
jackson-databind,2.20.1,com.fasterxml.jackson.core,FasterXML,https://github.com/FasterXML/jackson-databind,75,True,,False,General data-binding functionality for Jackson: works on core streaming API,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,a9026598-b1bf-41bc-a0b7-c3a0c35599df,2026-02-10T21:34:50.512819+00:00,3680,1463,3488,0,233,5164,6,20,10,15,15,15,0,
jackson-module-parameter-names,2.20.1,com.fasterxml.jackson.module,FasterXML,https://github.com/FasterXML/jackson-modules-java8,75,True,,True,"Add-on module for Jackson (https://github.com/FasterXML/jackson) to support introspection of method/constructor parameter names, without having to add explicit property name annotation.",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,24578335-ff66-4617-bcbd-a60b6877996d,2026-02-10T21:34:50.526325+00:00,417,123,219,0,99,3387,551,20,10,15,15,15,0,
jackson-module-scala_2.13,2.20.1,com.fasterxml.jackson.module,com.fasterxml.jackson.module,https://github.com/FasterXML/jackson-module-scala,75,True,,True,jackson-module-scala,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,3b9ce0d9-37b3-413b-be5e-8b62d5846025,2026-02-10T21:34:52.238329+00:00,507,141,493,0,187,5552,78,20,10,15,15,15,0,
scala-library,2.13.18,org.scala-lang,LAMP/EPFL,https://github.com/scala/scala,75,True,,False,Standard library for the Scala Programming Language,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,c55f9876-7579-46c3-92ca-3f3b8c381558,2026-02-10T21:34:52.550513+00:00,14436,3098,0,80,173,5186,15,20,10,15,15,15,0,
paranamer,2.8.3,com.thoughtworks.paranamer,paul-hammant,https://github.com/paul-hammant/paranamer,69,Undetermined,,False,Paranamer allows runtime access to constructor and method parameter names for Java classes,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,65322937-4964-4d06-9507-970fee8af5d9,2026-02-10T21:34:52.435983+00:00,233,36,16,0,27,5726,1025,20,10,12,15,12,0,
jakarta.xml.bind-api,4.0.4,jakarta.xml.bind,Eclipse Foundation,https://github.com/jakartaee/jaxb-api,70,True,,True,Jakarta XML Binding API,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,11e5ff4d-15bb-416d-b25d-04bb4be8e3a5,2026-02-10T21:34:52.494975+00:00,69,46,133,10,17,2723,101,18,7,15,15,15,0,
jakarta.activation-api,2.1.4,jakarta.activation,Eclipse Foundation,https://github.com/jakartaee/jaf-api,52,Undetermined,,False,Jakarta Activation API 2.1 Specification,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,0ef8411a-dc08-4cfe-9e81-37b08bd40e0b,2026-02-10T21:34:52.511989+00:00,40,34,56,8,14,2715,3121,12,4,12,15,9,0,
jandex,3.5.3,io.smallrye,smallrye,https://github.com/smallrye/jandex,75,True,,True,SmallRye Build Parent POM,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,f4e1f7cd-c428-45f0-ae77-d37321efc284,2026-02-10T21:34:52.619555+00:00,438,100,117,87,88,5668,13,20,10,15,15,15,0,
javassist,3.30.2-GA,org.javassist,"Shigeru Chiba, www.javassist.org",https://github.com/jboss-javassist/javassist,73,True,,True,Javassist (JAVA programming ASSISTant) makes Java bytecode manipulation simple. It is a class library for editing bytecodes in Java.,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,585af0be-6b16-4a1e-a4ab-dcebfd555800,2026-02-10T21:34:52.560517+00:00,4230,721,154,24,57,4646,130,18,10,15,15,15,0,
jakarta.json-api,2.1.3,jakarta.json,Eclipse Foundation,https://github.com/eclipse-ee4j/jsonp,73,True,,True,"Jakarta JSON Processing defines a Java(R) based framework for parsing, generating, transforming, and querying JSON documents.",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,fa5f9eaa-95a9-42a0-bdc5-c439381846cb,2026-02-10T21:34:52.624060+00:00,154,64,154,5,18,2954,683,18,10,15,15,15,0,
jakarta.json,2.0.1,org.glassfish,Eclipse Foundation,https://github.com/eclipse-ee4j/jsonp,73,True,,True,Default provider for Jakarta JSON Processing,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,fa5f9eaa-95a9-42a0-bdc5-c439381846cb,2026-02-10T21:34:52.624060+00:00,154,64,154,5,18,2954,683,18,10,15,15,15,0,
jsqlparser,5.3,com.github.jsqlparser,JSQLParser,https://github.com/JSQLParser/JSqlParser,75,True,,True,JSqlParser parses an SQL statement and translate it into a hierarchy of Java classes. The generated hierarchy can be navigated using the Visitor Pattern.,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,c6fc2d96-b23e-441a-9259-8826ac40bd34,2026-02-10T21:34:52.609050+00:00,5912,1422,1538,37,38,5346,11,20,10,15,15,15,0,
jmh-core,1.37,org.openjdk.jmh,Oracle,https://github.com/openjdk/jmh,75,True,,False,"The jmh is a Java harness for building, running, and analysing nano/micro/macro benchmarks written in Java and other languages targeting the JVM.",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,c15cd5a3-9d23-4de6-9374-52f38c069cc6,2026-02-10T21:34:52.539008+00:00,2576,327,0,0,102,2464,53,20,10,15,15,15,0,
commons-math3,3.6.1,org.apache.commons,The Apache Software Foundation,https://github.com/apache/commons-math,75,True,,False,"The Apache Commons Math project is a library of lightweight, self-contained mathematics and statistics components addressing the most common practical problems not immediately available in the Java programming language or commons-lang.",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,c59c517a-f18f-4362-a201-64ec0ca0c482,2026-02-10T21:34:52.593036+00:00,633,378,0,0,67,4144,34,20,10,15,15,15,0,
kafka_2.13,4.1.1,org.apache.kafka,apache,https://github.com/apache/kafka,75,True,,True,,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,5346d494-8dd7-47ca-b027-9f76e0ea23a6,2026-02-10T21:34:52.628061+00:00,31864,14948,0,0,289,5293,3,20,10,15,15,15,0,
kafka-clients,4.1.1,org.apache.kafka,apache,https://github.com/apache/kafka,75,True,,False,,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,5346d494-8dd7-47ca-b027-9f76e0ea23a6,2026-02-10T21:34:52.628061+00:00,31864,14948,0,0,289,5293,3,20,10,15,15,15,0,
zstd-jni,1.5.6-10,com.github.luben,com.github.luben,https://github.com/luben/zstd-jni,75,True,,False,JNI bindings for Zstd native library that provides fast and high compression lossless algorithm for Java and all JVM languages.,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,7a5e2981-afa1-4ffa-a7d4-70fab180999b,2026-02-10T21:34:52.534503+00:00,1004,195,254,0,111,4003,30,20,10,15,15,15,0,
lz4-java,1.8.0,org.lz4,lz4,https://github.com/lz4/lz4-java,71,True,,False,Java ports and bindings of the LZ4 compression algorithm and the xxHash hashing algorithm,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,00150e71-6419-4e3c-92c3-b41fd4b22366,2026-02-10T21:34:50.804375+00:00,1173,281,112,8,11,4955,78,16,10,15,15,15,0,
snappy-java,1.1.10.7,org.xerial.snappy,xerial.org,https://github.com/xerial/snappy-java,75,True,,False,snappy-java: A fast compression/decompression library,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,1feef7a7-1422-4c2c-a77e-c36d5ead79e2,2026-02-10T21:34:52.698034+00:00,1079,252,184,27,82,4906,78,20,10,15,15,15,0,
kafka-server-common,4.1.1,org.apache.kafka,apache,https://github.com/apache/kafka,75,True,,False,,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,5346d494-8dd7-47ca-b027-9f76e0ea23a6,2026-02-10T21:34:52.628061+00:00,31864,14948,0,0,289,5293,3,20,10,15,15,15,0,
pcollections,4.0.2,org.pcollections,hrldcpr,https://github.com/hrldcpr/pcollections,75,True,,False,A Persistent Java Collections Library,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,d8d37a37-547f-4be3-abd7-8d084d1398ef,2026-02-10T21:34:52.576027+00:00,783,82,53,0,27,4346,61,20,10,15,15,15,0,
kafka-group-coordinator-api,4.1.1,org.apache.kafka,apache,https://github.com/apache/kafka,75,True,,False,,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,5346d494-8dd7-47ca-b027-9f76e0ea23a6,2026-02-10T21:34:52.628061+00:00,31864,14948,0,0,289,5293,3,20,10,15,15,15,0,
kafka-group-coordinator,4.1.1,org.apache.kafka,apache,https://github.com/apache/kafka,75,True,,False,,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,5346d494-8dd7-47ca-b027-9f76e0ea23a6,2026-02-10T21:34:52.628061+00:00,31864,14948,0,0,289,5293,3,20,10,15,15,15,0,
HdrHistogram,2.2.2,org.hdrhistogram,HdrHistogram,https://github.com/HdrHistogram/HdrHistogram,71,True,,False,"HdrHistogram supports the recording and analyzing sampled data value counts across a configurable integer value range with configurable value precision within the range. Value precision is expressed as the number of significant digits in the value recording, and provides control over value quantization behavior across the value range and the subsequent value resolution at any given level.",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,d77250f8-c2d4-4433-bf49-01850ce77d27,2026-02-10T21:34:52.702035+00:00,2352,268,105,3,28,4901,11,16,10,15,15,15,0,
hash4j,0.22.0,com.dynatrace.hash4j,dynatrace-oss,https://github.com/dynatrace-oss/hash4j,68,Undetermined,,False,hash4j: A Dynatrace hash library for Java,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,6b4314e1-4624-4a70-ba7a-4d35f3adb67a,2026-02-10T21:34:52.799103+00:00,136,14,19,36,36,1476,11,20,10,8,15,15,0,
kafka-transaction-coordinator,4.1.1,org.apache.kafka,apache,https://github.com/apache/kafka,75,True,,False,,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,5346d494-8dd7-47ca-b027-9f76e0ea23a6,2026-02-10T21:34:52.628061+00:00,31864,14948,0,0,289,5293,3,20,10,15,15,15,0,
kafka-metadata,4.1.1,org.apache.kafka,apache,https://github.com/apache/kafka,75,True,,False,,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,5346d494-8dd7-47ca-b027-9f76e0ea23a6,2026-02-10T21:34:52.628061+00:00,31864,14948,0,0,289,5293,3,20,10,15,15,15,0,
kafka-storage-api,4.1.1,org.apache.kafka,apache,https://github.com/apache/kafka,75,True,,False,,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,5346d494-8dd7-47ca-b027-9f76e0ea23a6,2026-02-10T21:34:52.628061+00:00,31864,14948,0,0,289,5293,3,20,10,15,15,15,0,
kafka-tools-api,4.1.1,org.apache.kafka,apache,https://github.com/apache/kafka,75,True,,False,,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,5346d494-8dd7-47ca-b027-9f76e0ea23a6,2026-02-10T21:34:52.628061+00:00,31864,14948,0,0,289,5293,3,20,10,15,15,15,0,
kafka-raft,4.1.1,org.apache.kafka,apache,https://github.com/apache/kafka,75,True,,False,,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,5346d494-8dd7-47ca-b027-9f76e0ea23a6,2026-02-10T21:34:52.628061+00:00,31864,14948,0,0,289,5293,3,20,10,15,15,15,0,
kafka-storage,4.1.1,org.apache.kafka,apache,https://github.com/apache/kafka,75,True,,False,,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,5346d494-8dd7-47ca-b027-9f76e0ea23a6,2026-02-10T21:34:52.628061+00:00,31864,14948,0,0,289,5293,3,20,10,15,15,15,0,
caffeine,3.2.0,com.github.ben-manes.caffeine,ben-manes,https://github.com/ben-manes/caffeine,75,True,,False,A high performance caching library,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,6e1d75ce-4621-4151-a3f5-f400c0384d20,2026-02-10T21:34:52.729056+00:00,17462,1684,770,72,72,4078,11,20,10,15,15,15,0,
kafka-server,4.1.1,org.apache.kafka,apache,https://github.com/apache/kafka,75,True,,False,,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,5346d494-8dd7-47ca-b027-9f76e0ea23a6,2026-02-10T21:34:52.628061+00:00,31864,14948,0,0,289,5293,3,20,10,15,15,15,0,
kafka-coordinator-common,4.1.1,org.apache.kafka,apache,https://github.com/apache/kafka,75,True,,False,,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,5346d494-8dd7-47ca-b027-9f76e0ea23a6,2026-02-10T21:34:52.628061+00:00,31864,14948,0,0,289,5293,3,20,10,15,15,15,0,
kafka-share-coordinator,4.1.1,org.apache.kafka,apache,https://github.com/apache/kafka,75,True,,False,,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,5346d494-8dd7-47ca-b027-9f76e0ea23a6,2026-02-10T21:34:52.628061+00:00,31864,14948,0,0,289,5293,3,20,10,15,15,15,0,
argparse4j,0.7.0,net.sourceforge.argparse4j,tatsuhiro-t,https://github.com/tatsuhiro-t/argparse4j,67,Undetermined,,False,The command-line parser library based on Python's argparse,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,6200e423-f7b6-43b9-b703-2492540d4ed6,2026-02-10T21:34:52.629560+00:00,257,55,65,5,18,5190,825,12,10,15,15,15,0,
